INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
20101012	2	1	1	12	Herbal1_4	苍术	菊科植物。味辛烈，性温而燥，可升可降。有燥湿健脾，祛风，散寒，明目的功效。可用于制药等。	5	1375	50	4	40	-1	-1	1	8	5	-1	-1	中级药材	5	0	2000	-1	0
20101013	2	1	1	13	Herbal2_14	茯苓	菌科植物。味甘、淡、平，入肺、胃、肾经。有益脾、安神、利水渗湿的功效。可用于制药等。	5	1625	50	4	40	-1	-1	1	8	5	-1	-1	中级药材	5	0	2000	-1	0
20101014	2	1	1	14	Herbal1_13	防风	伞形科植物。根味辛、甘，性温。有解表发汗、祛风除湿的功效。可用于制药等。	6	1625	60	4	40	-1	-1	1	8	6	-1	-1	中级药材	6	0	2000	-1	0
20101015	2	1	1	15	Herbal2_3	香薷	唇形科植物。味辛，性微温，入肺、胃经。有解表、理气化湿的功效。可用于制药等。	6	1625	60	4	40	-1	-1	1	8	6	-1	-1	中级药材	6	0	2000	-1	0
20101016	2	1	1	16	Herbal2_9	黄连	毛茛科植物。味苦，寒。入心、脾、胃、肝、胆、大肠经。有泻火解毒，清热燥湿的功效。可用于制药等。	6	1875	60	4	40	-1	-1	1	8	6	-1	-1	中级药材	6	0	2000	-1	0
20101017	2	1	1	17	Herbal2_6	当归	伞形科植物。味甘、辛，性温，入肝、心、脾经。有补血活血，调经止痛，润肠通便的功效。可用于制药等。	7	1875	70	4	40	-1	-1	1	8	7	-1	-1	高级药材	7	0	2000	-1	0
20101018	2	1	1	18	Herbal1_5	桂心	香木科植物。味苦、辛。有引血化汗化脓，益精明目，消瘀生肌，补劳伤，暖腰膝，续筋骨的功效。可用于制药等。	7	1875	70	4	40	-1	-1	1	8	7	-1	-1	高级药材	7	0	2000	-1	0
20101019	2	1	1	19	Herbal2_1	香附	莎草科植物。味辛、微苦、微甘，平。入肝、脾、三焦经。有行气解郁，调经止痛的功效。可用于制药等。	7	2125	70	4	40	-1	-1	1	8	7	-1	-1	高级药材	7	0	2000	-1	0
20101020	2	1	1	20	Herbal1_7	藿香	唇形科植物。性微温，味辛，入脾、胃、肺经。有祛暑解表、化湿醒脾、辟秽和中的功效。可用于制药等。	8	2125	80	4	40	-1	-1	1	8	8	-1	-1	高级药材	8	0	2000	-1	0
20101021	2	1	1	21	Herbal2_4	回神草	散发着醉人香气的奇妙植物。有清热解毒、开窍豁疾的功效。可用于制药等。	8	2125	80	4	40	-1	-1	1	8	8	-1	-1	高级药材	8	0	2000	-1	0
20101022	2	1	1	22	Herbal2_7	首乌	蓼科植物。根部块茎苦甘涩微温，入肝，肾经。有益肝肾、益精血、壮筋骨的功效。可用于制药等。	8	2375	80	4	40	-1	-1	1	8	8	-1	-1	高级药材	8	0	2000	-1	0
20101023	2	1	1	23	Herbal1_15	冬虫夏草	冬虫夏草并不是草而是一种真菌（子囊菌），是虫草属菌寄生在蝙蝠蛾幼虫体内形成的假菌核，也就是菌丝和虫体结合成的混合体，而幼虫的外形不变。这是青藏高原高山雪线以上的特有类群。	9	2375	90	4	40	-1	-1	1	8	9	-1	-1	高级药材	9	0	2000	-1	0
20101024	2	1	1	24	Herbal1_5	龙葵籽	茄科植物，壳上天生有龙型的花纹。味苦，寒，有微小毒性，有清热解毒，利水消肿的功效。可用于制药等。	9	2625	90	4	40	-1	-1	1	8	9	-1	-1	高级药材	9	0	2000	-1	0
20101025	2	1	1	25	Herbal1_14	象贝	百合科植物。性寒、味苦，主治外感受咳嗽、肺痛等症状。可用于制药等。	10	2625	100	4	40	-1	-1	1	8	10	-1	-1	高级药材	10	0	2000	-1	0
20101026	2	1	1	26	Herbal2_10	人参	珍贵的中药，第三纪孑遗植物。性味性温，味甘、微苦，有大补元气，复脉固脱，补脾益肺，生津，安神的功效。可用于制药等。	10	2625	100	4	40	-1	-1	1	8	10	-1	-1	高级药材	10	0	2000	-1	0
20101027	2	1	1	27	Herbal2_11	灵芝	菌科植物。性味甘、平，无毒。有益心气，补中，增智慧的功效。可用于制药等。	11	2875	110	4	40	-1	-1	1	8	11	-1	-1	高级药材	11	0	2000	-1	0
20101028	2	1	1	28	Herbal1_16	荀草	草叶似兰、果赤、可明目养颜，养血补心。主治头晕目眩，筋骨痿软。可用于制药等。	11	2875	110	4	40	-1	-1	1	8	11	-1	-1	高级药材	11	0	2000	-1	0
20101029	2	1	1	29	Herbal2_6	莲子	睡莲科植物。味甘、涩，平，入脾、肾、心经。有益气止汗、爽身明目的功效。可用于制药等。	12	3125	120	4	40	-1	-1	1	8	12	-1	-1	高级药材	12	0	2000	-1	0
20101030	2	1	1	30	Herbal1_16	枯木春	无色无味的药草，放入水中稍煮即完全溶化。有解毒，祛风，起死回生的功效。可用于制药等。	12	3125	120	4	40	-1	-1	1	8	12	-1	-1	高级药材	12	0	2000	-1	0
20102001	2	1	2	1	Fish_1	草鱼	又名鲩鱼、草鲩、草棒、草青、厚鱼。以其食草为生，故名草鱼，有青、白二色，白者味佳。可用于烹饪。	1	38	9	4	40	-1	-1	1	9	1	-1	-1	初级鱼类	1	0	2000	-1	0
20102002	2	1	2	2	Fish_3	鲫鱼	俗称喜头鱼、鲫瓜子，属鲤形目，鲤科，鲫属。耐受力强，食性杂，喜爱群游，常栖息在杂草丛生地。可用于烹饪。	2	42	10	4	40	-1	-1	1	9	2	-1	-1	初级鱼类	2	0	2000	-1	0
20102003	2	1	2	3	Fish_9	鲢鱼	又叫白鲢、鲢子，体形侧扁，背部青灰色，两侧及腹部白色头较大，眼睛位置很低。可用于烹饪。	3	102	25	4	40	-1	-1	1	9	3	-1	-1	初级鱼类	3	0	2000	-1	0
20102004	2	1	2	4	Fish_8	平鱼	是一种身体扁平的海鱼，刺少肉嫩。可用于烹饪。	4	184	46	4	40	-1	-1	1	9	4	-1	-1	中级鱼类	4	0	2000	-1	0
20102005	2	1	2	5	Fish_5	鳝鱼	一种半冬眠的鱼类，当气温过低时，鳝鱼便不吃不动，靠微量呼吸进入冬眠。可用于烹饪。	5	282	70	4	40	-1	-1	1	9	5	-1	-1	中级鱼类	5	0	2000	-1	0
20102006	2	1	2	6	Fish_10	黑鱼	也叫黑鱼棒子，属食肉类鱼，是养鱼业的一大害鱼。这种鱼繁殖生长快，性凶猛，只要钓法正确，极易钓取。可用于烹饪。	6	402	100	4	40	-1	-1	1	9	6	-1	-1	中级鱼类	6	0	2000	-1	0
20102007	2	1	2	7	Fish_6	斗鱼	身形如梭，体长七八厘米，全身浅绿，有十二条黑色的斑纹，长长的尾鳍和臀鳍像彩色的飘带，背鳍鲜红。可用于烹饪。	7	554	138	4	40	-1	-1	1	9	7	-1	-1	高级鱼类	7	0	2000	-1	0
20102008	2	1	2	8	Fish_2	鲳鱼	又名白鲳、鲳板、镜鱼、平鱼、鲳扁鱼，系银鲳属鲳科，栖息于近海的中下层。可用于烹饪。	8	702	175	4	40	-1	-1	1	9	8	-1	-1	高级鱼类	8	0	2000	-1	0
20102009	2	1	2	9	Fish_11	银鱼	淡水鱼，长约七至十厘米，体长略圆，细嫩透明，色泽如银，因而得名。可用于烹饪。	9	864	216	4	40	-1	-1	1	9	9	-1	-1	高级鱼类	9	0	2000	-1	0
20102010	2	1	2	10	Fish_7	鲑鱼	这类鱼中多数是食肉的，它们或者在水中追逐猎物，或者潜伏在水草中，等待鱼和其他动物靠近。可用于烹饪。	10	1054	263	4	40	-1	-1	1	9	10	-1	-1	高级鱼类	10	0	2000	-1	0
20102011	2	1	2	11	Fish_4	骨舌鱼	骨舌鱼科。是一种下颌具须，体侧扁，腹部有棱突的古老淡水鱼种群，属于鲱形目。可用于烹饪。	11	1060	265	4	40	-1	-1	1	9	11	-1	-1	高级鱼类	11	0	2000	-1	0
20102012	2	1	2	12	Fish_12	六线鱼	体长侧扁，头大而突，头顶无棘棱眼较小的鱼类。可用于烹饪。	12	1176	294	4	40	-1	-1	1	9	12	-1	-1	高级鱼类	12	0	2000	-1	0
20102013	2	1	2	13	Fish2_1	青鱼	又名乌青、溪鱼，栖息于水中下层，生长快，肉味鲜美。可用于烹饪。	1	38	9	4	40	-1	-1	1	9	1	-1	-1	初级鱼类	1	0	2000	-1	0
20102014	2	1	2	14	Fish2_3	箭鱼	又称青箭鱼。因其上颌向前延伸呈剑状，故名。属鱼纲、鲈形目、箭鱼科的一种飞鱼。可用于烹饪。	2	42	10	4	40	-1	-1	1	9	2	-1	-1	初级鱼类	2	0	2000	-1	0
20102015	2	1	2	15	Fish2_9	鲈鱼	鲈鱼肉质坚实洁白，不仅营养价值高，而且口味鲜美。可用于烹饪。	3	102	25	4	40	-1	-1	1	9	3	-1	-1	初级鱼类	3	0	2000	-1	0
20102016	2	1	2	16	Fish2_8	扁头鱼	它的头、尾、腹扁平，背呈流线型，银色，栖息于近海的浅层。可用于烹饪。	4	184	46	4	40	-1	-1	1	9	4	-1	-1	中级鱼类	4	0	2000	-1	0
20102017	2	1	2	17	Fish2_5	油力鱼	细小，肥嫩，入口鲜美，全身浅色，腹部有深色花纹。可用于烹饪。	5	282	70	4	40	-1	-1	1	9	5	-1	-1	中级鱼类	5	0	2000	-1	0
20102018	2	1	2	18	Fish2_10	秋刀鱼	身体扁平，鳞片小，全身银色，味道鲜美，营养价值高。可用于烹饪。	6	402	100	4	40	-1	-1	1	9	6	-1	-1	中级鱼类	6	0	2000	-1	0
20102019	2	1	2	19	Fish2_6	梭鱼	头短而宽，鳞片很大。梭鱼的背侧呈青灰色，腹面浅灰色，两侧鳞片有黑色的竖纹。可用于烹饪。	7	554	138	4	40	-1	-1	1	9	7	-1	-1	高级鱼类	7	0	2000	-1	0
20102020	2	1	2	20	Fish2_2	光背鱼	臀鳍像窗帘一样，从胸部连到尾部。鳔具有肺的作用，所以常浮出水面呼吸，口能大开。可用于烹饪。	8	702	175	4	40	-1	-1	1	9	8	-1	-1	高级鱼类	8	0	2000	-1	0
20102021	2	1	2	21	Fish2_11	钩鱼	在海水和淡水混合的水域，行群居生活，成鱼头部前端有突起。可用于烹饪。	9	864	216	4	40	-1	-1	1	9	9	-1	-1	高级鱼类	9	0	2000	-1	0
20102022	2	1	2	22	Fish2_7	摆鳍鱼	体长，稍侧扁，呈优美的流线型。躯体青褐色，有灰白色圆斑。可用于烹饪。	10	1054	263	4	40	-1	-1	1	9	10	-1	-1	高级鱼类	10	0	2000	-1	0
20102023	2	1	2	23	Fish2_4	珍珠鱼	全身包括背鳍、臀鳍在内布满银色珠点。游动时珠光闪烁，美丽无比，故得名珍珠鱼。可用于烹饪。	11	1060	265	4	40	-1	-1	1	9	11	-1	-1	高级鱼类	11	0	2000	-1	0
20102024	2	1	2	24	Fish2_12	文昌鱼	体形不是很大，全身半透明，头尾两头尖，是高级鱼品，其肉质鲜嫩，味道清津甜美。可用于烹饪。	12	1176	294	4	40	-1	-1	1	9	12	-1	-1	高级鱼类	12	0	2000	-1	0
20102025	2	1	2	25	Fish3_1	花蛤	花蛤颗粒饱满，其肉质鲜美无比，被称为“天下第一鲜”、“百味之冠”，用于烹饪。	1	38	9	4	40	-1	-1	1	9	1	-1	-1	鱼类伴生	1	0	2000	-1	0
20102026	2	1	2	26	Fish3_12	紫菜	紫菜性味甘碱寒，具有化痰软坚、清热利水、补肾养心的功效，用于烹饪。	2	42	10	4	40	-1	-1	1	9	2	-1	-1	鱼类伴生	2	0	2000	-1	0
20102027	2	1	2	27	Fish3_5	白虾	白虾，死后体呈白色而得名，肉质鲜美无比，用于烹饪。	3	102	25	4	40	-1	-1	1	9	3	-1	-1	鱼类伴生	3	0	2000	-1	0
20102028	2	1	2	28	Fish3_4	龙虾	龙虾，用于烹饪，虾尾大且肉多饱满丰盈，可以炉火烤制，乃是海鲜极品佳肴。	4	184	46	4	40	-1	-1	1	9	4	-1	-1	鱼类伴生	4	0	2000	-1	0
20102029	2	1	2	29	Fish3_9	青蟹	青蟹，每年农历八月，青蟹壳坚如盾，脚爪圆壮，只只都是双层皮、民间有“八月蝤蛑抵只鸡”之说，用于烹饪。	5	282	70	4	40	-1	-1	1	9	5	-1	-1	鱼类伴生	5	0	2000	-1	0
20102030	2	1	2	30	Fish3_2	文蛤	文蛤，其肉嫩味鲜，营养丰富，素有“天下第一鲜”之称，且具有清热，利湿，化痰，散结之功效，用于烹饪。	6	402	100	4	40	-1	-1	1	9	6	-1	-1	鱼类伴生	6	0	2000	-1	0
20102031	2	1	2	31	Fish3_3	贻贝	贻贝，壳呈楔形，前端尖细，后端宽广而圆，柔嫩鲜美，用于烹饪。	7	554	138	4	40	-1	-1	1	9	7	-1	-1	鱼类伴生	7	0	2000	-1	0
20102032	2	1	2	32	Fish3_6	对虾	对虾，甲壳薄而透明。第二对触角上的须很长。肉味鲜美，是我国的特产之一，用于烹饪。	8	702	175	4	40	-1	-1	1	9	8	-1	-1	鱼类伴生	8	0	2000	-1	0
20102033	2	1	2	33	Fish3_7	杂色蛤	杂色蛤，肉质细嫩，味道鲜美，营养丰富，还可入药，有降压功效，用于烹饪。	9	864	216	4	40	-1	-1	1	9	9	-1	-1	鱼类伴生	9	0	2000	-1	0
20102034	2	1	2	34	Fish3_8	河蚌	河蚌，壳面光滑，胶合部窄，无齿，斧足发达，肉可食，用于烹饪。	10	1054	263	4	40	-1	-1	1	9	10	-1	-1	鱼类伴生	10	0	2000	-1	0
20102035	2	1	2	35	Fish3_10	蛙蟹	蛙蟹，蟹肉色洁白，肉质细嫩，膏似凝脂，味道鲜美，用于烹饪。	11	1060	265	4	40	-1	-1	1	9	11	-1	-1	鱼类伴生	11	0	2000	-1	0
20102036	2	1	2	36	Fish3_11	玉蟹	玉蟹，两钳状螯足之肉，呈丝状而带甜味，蟹黄色艳味香，食之别有风味，因而久负盛名，居海鲜之首，用于烹饪。	12	1176	294	4	40	-1	-1	1	9	12	-1	-1	鱼类伴生	12	0	2000	-1	0
20102037	2	1	2	37	Meet_3	初级食材	食物材料，用于烹饪杂物配方。	1	50	12	4	200	-1	-1	1	1	1	-1	-1	食材	1	0	2000	-1	0
20102038	2	1	2	38	Meet_6	中级食材	食物材料，用于烹饪杂物配方。	2	100	25	4	200	-1	-1	1	1	1	-1	-1	食材	2	0	2000	-1	0
20102039	2	1	2	39	Meet_9	高级食材	食物材料，用于烹饪杂物配方。	3	150	37	4	200	-1	-1	1	1	1	-1	-1	食材	3	0	2000	-1	0
20102040	2	1	2	40	Fish_12	胭脂鱼	胭脂鱼，食性广，个体大，肉鲜美，具有观赏价值。可用于烹饪。	9	864	216	4	40	-1	-1	1	9	9	-1	-1	高级鱼类	9	0	2000	-1	0
20102041	2	1	2	41	Fish_8	七星鱼	七星鱼，肉肥鲜美，营养丰富，肉坚实，骨刺少。据医术记载黑色有去瘀生新，补血调养的药理作用。可用于烹饪。	10	1054	263	4	40	-1	-1	1	9	10	-1	-1	高级鱼类	10	0	2000	-1	0
20102042	2	1	2	42	Fish_9	长吻鱼	长吻鱼，淡水鱼系，肉质细嫩，肉味鲜美，新鲜时为银白色，烹制后为高级宴席的佳肴。可用于烹饪。	11	1060	265	4	40	-1	-1	1	9	11	-1	-1	高级鱼类	11	0	2000	-1	0
20102043	2	1	2	43	Fish_6	多鳍鱼	多鳍鱼，身内有软骨，可在水底爬行的鱼类，为活化石鱼类，烹饪大师可用之试验佳肴。可用于烹饪。	12	1176	294	4	40	-1	-1	1	9	12	-1	-1	高级鱼类	12	0	2000	-1	0
20102044	2	1	2	44	Fish2_10	翘嘴红鲌	翘嘴红鲌，体细长，侧扁，呈柳叶型。其肉洁白鲜嫩，营养价值较高，鲜食和腌制均宜。可用于烹饪。	9	864	216	4	40	-1	-1	1	9	9	-1	-1	高级鱼类	9	0	2000	-1	0
20102045	2	1	2	45	Fish_4	秋白鲑	秋白鲑，生活在蓝色湖水之下，味道鲜美，质地滑嫩。可用于烹饪。	10	1054	263	4	40	-1	-1	1	9	10	-1	-1	高级鱼类	10	0	2000	-1	0
20102046	2	1	2	46	Fish2_7	蝶鳍鱼	蝶鳍鱼，鳍像大蝴蝶的翅膀，身体透明，烹饪大师可用之试验佳肴。可用于烹饪。	11	1060	265	4	40	-1	-1	1	9	11	-1	-1	高级鱼类	11	0	2000	-1	0
20102047	2	1	2	47	Fish_11	文鳐鱼	文鳐鱼，形状如鲤鱼，鱼身鸟翼，体平扁，呈圆形，斜方形或菱形，肉味酸中带甜可用于烹饪。	12	1176	294	4	40	-1	-1	1	9	12	-1	-1	高级鱼类	12	0	2000	-1	0
20102048	2	1	2	48	Fish3_2	盐壳蚌	盐壳蚌，河水干涸后蚌壳上是坚固的盐晶，蚌壳可入味烹饪汤水，汤味鲜碱可口，为调味品。用于烹饪。	9	864	216	4	40	-1	-1	1	9	9	-1	-1	鱼类伴生	9	0	2000	-1	0
20102049	2	1	2	49	Fish_13	孢子尘	孢子尘，沉积在湖底百年的孢子菌，经过河水盈亏的交替，呈现出艳丽的颜色。可以用于点缀佳肴，无毒。用于烹饪。	10	1054	263	4	40	-1	-1	1	9	10	-1	-1	鱼类伴生	10	0	2000	-1	0
20102050	2	1	2	50	Fish_14	裸藻	裸藻，寄生淡水中的藻类，华润质薄，可与肉同烹，食之风味独特。用于烹饪。	11	1060	265	4	40	-1	-1	1	9	11	-1	-1	鱼类伴生	11	0	2000	-1	0
20102051	2	1	2	51	Fish3_8	蠃母	蠃母，贝壳类小动物。用于烹饪。	12	1176	294	4	40	-1	-1	1	9	12	-1	-1	鱼类伴生	12	0	2000	-1	0
20103001	2	1	3	1	Ore_1	铜矿石	铜矿石，状如姜石而有铜星，熔之取铜也，出铜山中，酸，寒，有小毒，用于铸造和工艺。	1	375	10	4	40	-1	-1	1	7	1	-1	-1	初级矿石	1	0	2000	-1	0
20103002	2	1	3	2	Ore_2	铁矿石	铁矿石，产量巨大，且种类繁多，多用于铸造和工艺。	2	625	20	4	40	-1	-1	1	7	2	-1	-1	初级矿石	2	0	2000	-1	0
20103003	2	1	3	3	Ore_3	银矿石	银矿石，延展性和可塑性也好，易于抛光和造型，常被人们用于铸造和工艺。	3	875	30	4	40	-1	-1	1	7	3	-1	-1	初级矿石	3	0	2000	-1	0
20103004	2	1	3	4	Ore_4	寒铁矿石	寒铁矿石，在深山寒滩中取得，质坚，色彩细腻，用于铸造和工艺。	4	1125	40	4	40	-1	-1	1	7	4	-1	-1	中级矿石	4	0	2000	-1	0
20103005	2	1	3	5	Ore_5	金矿石	金矿石，光泽耀眼，不易挥发，延展性极好，主要用于铸造和工艺。	5	1375	50	4	40	-1	-1	1	7	5	-1	-1	中级矿石	5	0	2000	-1	0
20103006	2	1	3	6	Ore_9	玄铁矿石	玄铁矿石，是一种稀有金属，密度和硬度在所有金属中最大，质量却最小，永不锈蚀，用于铸造和工艺。	6	1625	60	4	40	-1	-1	1	7	6	-1	-1	中级矿石	6	0	2000	-1	0
20103007	2	1	3	7	Ore_11	水晶矿石	水晶矿石，是一种有灵性矿物，被喻为石中精灵，蕴藏着巨大的能量与无限的神奇力量，用于铸造和工艺。	7	1875	70	4	40	-1	-1	1	7	7	-1	-1	高级矿石	7	0	2000	-1	0
20103008	2	1	3	8	Ore_8	翡翠矿石	翡翠矿石，透明晶莹、光泽喜人、硬而不脆，乃公认的“玉中之王”，用于铸造和工艺。	8	2125	80	4	40	-1	-1	1	7	8	-1	-1	高级矿石	8	0	2000	-1	0
20103009	2	1	3	9	Ore_6	真武矿石	真武矿石，传说乃为真武大帝之魂化成，灵气充盈，用于铸造和工艺。	9	2375	90	4	40	-1	-1	1	7	9	-1	-1	高级矿石	9	0	2000	-1	0
20103010	2	1	3	10	Ore_7	龙血矿石	龙血矿石，以四灵之一的龙血化成，据说使用以此铸造之物，会使人灵气昭然，似身绕帝王之气，多用于铸造和工艺。	10	2625	100	4	40	-1	-1	1	7	10	-1	-1	高级矿石	10	0	2000	-1	0
20103011	2	1	3	11	Ore_10	凤血矿石	凤血矿石，百鸟之王滴血化成，象征祥瑞，使用以此铸造之物，会延年益寿，百病皆除，常用于铸造和工艺。	11	2875	110	4	40	-1	-1	1	7	11	-1	-1	高级矿石	11	0	2000	-1	0
20103012	2	1	3	12	Ore_12	女娲石	女娲石，即上古时女娲补天所用的五彩玉石，极其罕见，该灵石具有一股神秘的力量，多用于铸造和工艺。	12	3125	120	4	40	-1	-1	1	7	12	-1	-1	高级矿石	12	0	2000	-1	0
20103013	2	1	3	13	MakeMaterial11_5	白铅矿石	白铅矿石，金刚光泽，有时呈油脂光泽或珍珠光泽，用于铸造。	1	75	15	4	40	-1	-1	1	7	1	-1	-1	伴生矿	1	0	2000	-1	0
20103014	2	1	3	14	MakeMaterial11_6	黄铁矿石	黄铁矿石，其浅黄铜的颜色和明亮的金属光泽，常被误认为是黄金，又称为“愚人金”，用于铸造。	2	125	25	4	40	-1	-1	1	7	2	-1	-1	伴生矿	2	0	2000	-1	0
20103015	2	1	3	15	MakeMaterial11_7	碘银矿石	碘银矿石，永远闪耀着月亮般的光辉，具有很高的延展性，被人们称为“唯金三品”，用于铸造。	3	175	35	4	40	-1	-1	1	7	3	-1	-1	伴生矿	3	0	2000	-1	0
20103016	2	1	3	16	MakeMaterial11_8	云母石	云母石，常生于大理岩中，呈假六方或菱形，色彩鲜艳，用于铸造。	4	225	45	4	40	-1	-1	1	7	4	-1	-1	伴生矿	4	0	2000	-1	0
20103017	2	1	3	17	MakeMaterial11_9	滑石	滑石，白色、黄白色或淡蓝灰色，有蜡样光泽，质软细腻，手摸有滑润感，无吸湿性，置水中不崩散，用于铸造。	5	275	55	4	40	-1	-1	1	7	5	-1	-1	伴生矿	5	0	2000	-1	0
20103018	2	1	3	18	MakeMaterial11_10	方玉石	方玉石，质地坚硬、细而有光泽，质细而坚硬，微透明，可雕琢成簪、环等装饰品，也可制成武器，用于铸造。	6	325	65	4	40	-1	-1	1	7	6	-1	-1	伴生矿	6	0	2000	-1	0
20103019	2	1	3	19	MakeMaterial11_11	蛭石	蛭石，呈褐色、褐黄色或暗绿色，加热后的蛭石变成银灰色，带油脂的玻璃光泽，用于铸造。	7	375	75	4	40	-1	-1	1	7	7	-1	-1	伴生矿	7	0	2000	-1	0
20103020	2	1	3	20	MakeMaterial11_12	芒硝石	芒硝石，玻璃光泽，产于湖泊和海滨半封闭的海湾潟湖里，用于铸造。	8	425	85	4	40	-1	-1	1	7	8	-1	-1	伴生矿	8	0	2000	-1	0
20103021	2	1	3	21	MakeMaterial11_13	毒重石	毒重石，翠青，呈淡绿色，色嫩，质细腻，用于铸造。	9	475	95	4	40	-1	-1	1	7	9	-1	-1	伴生矿	9	0	2000	-1	0
20103022	2	1	3	22	MakeMaterial11_14	霞石	霞石，呈六方短柱状，无色或灰白色，因含杂质而呈浅黄、浅绿或浅红等色，玻璃光泽，产于伟晶岩中，用于铸造。	10	525	105	4	40	-1	-1	1	7	10	-1	-1	伴生矿	10	0	2000	-1	0
20103023	2	1	3	23	MakeMaterial11_15	珍珠石	珍珠石，自古以来一直被人们视做奇珍，温馨，雅洁，瑰丽，有白色系、红色系、黄色系、深色系和杂色系五种，多数不透明，用于铸造。	11	575	115	4	40	-1	-1	1	7	11	-1	-1	伴生矿	11	0	2000	-1	0
20103024	2	1	3	24	MakeMaterial11_16	朱雀石	朱雀石，以四灵之一的朱雀之血化成，据说使用以此铸造之物，会使人灵气昭然，似身绕火灵之气，用于铸造。	12	625	125	4	40	-1	-1	1	7	12	-1	-1	伴生矿	12	0	2000	-1	0
20103025	2	1	3	25	MakeMaterial12_1	蓝铜矿石	蓝铜矿石，深蓝色，呈玻璃光泽，透明至半透明，常与孔雀石共生，用于铸造。	1	75	15	4	40	-1	-1	1	7	1	-1	-1	伴生矿	1	0	2000	-1	0
20103026	2	1	3	26	MakeMaterial12_2	菱铁矿石	菱铁矿石，淡蓝色，呈玻璃光泽，半透明，常与云母共生，用于铸造。	2	125	25	4	40	-1	-1	1	7	2	-1	-1	伴生矿	2	0	2000	-1	0
20103027	2	1	3	27	MakeMaterial12_3	黑银矿石	黑银矿石，颜色黑，泛暗光，轻且耐雕琢，韧性极强，用于铸造。	3	175	35	4	40	-1	-1	1	7	3	-1	-1	伴生矿	3	0	2000	-1	0
